Field_Type,Clean_Precision,Clean_Recall,Clean_F1,Clean_Support,OCR_Precision,OCR_Recall,OCR_F1,OCR_Support,F1_Delta_(Clean-OCR)
allergies,1.0,1.0,1.0,100,0.8,0.8,0.8,25,0.2
annual_income,0.5,1.0,0.6667,100,0.0,0.0,0.0,25,0.6667
bank_account_number,0.4673,1.0,0.6369,200,0.5,1.0,0.6667,50,-0.0298
biometric_information,0.5,1.0,0.6667,100,0.3621,0.84,0.506,25,0.1607
credit_card,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
credit_score,1.0,1.0,1.0,100,1.0,0.6,0.75,25,0.25
current_address,1.0,0.66,0.7952,100,0.9375,0.6,0.7317,25,0.0635
current_medications,0.7246,1.0,0.8403,100,0.2727,0.36,0.3103,25,0.53
date_of_birth,0.2166,1.0,0.3561,300,0.206,1.0,0.3417,75,0.0144
education,1.0,0.86,0.9247,100,0.0,0.0,0.0,25,0.9247
email,1.0,1.0,1.0,300,1.0,0.2667,0.4211,75,0.5789
emergency_contact,1.0,1.0,1.0,200,0.0,0.0,0.0,50,1.0
employer_name,0.0,0.0,0.0,200,0.0,0.0,0.0,50,0.0
employment_status,1.0,1.0,1.0,200,0.8364,0.92,0.8762,50,0.1238
full_name,0.1996,0.8075,0.3201,400,0.1381,0.62,0.2259,100,0.0942
gender,0.7246,1.0,0.8403,100,0.88,0.88,0.88,25,-0.0397
home_address,0.3045,0.9167,0.4572,300,0.2983,0.72,0.4219,75,0.0353
income,1.0,1.0,1.0,100,0.0,0.0,0.0,25,1.0
insurance_number,1.0,1.0,1.0,100,1.0,1.0,1.0,25,0.0
job_title,0.4975,1.0,0.6645,100,0.5319,1.0,0.6944,25,-0.0299
marital_status,1.0,1.0,1.0,400,1.0,0.96,0.9796,100,0.0204
medical_history,1.0,1.0,1.0,300,0.9028,0.8667,0.8844,75,0.1156
medical_license,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
national_id,1.0,1.0,1.0,300,0.9146,1.0,0.9554,75,0.0446
nrp,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
occupation,0.0,0.0,0.0,100,0.0,0.0,0.0,25,0.0
organization,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
phone,0.4793,0.7825,0.5945,400,0.4539,0.69,0.5476,100,0.0469
religion,0.9456,1.0,0.9721,400,0.97,0.97,0.97,100,0.0021
rental_history,1.0,1.0,1.0,100,0.0,0.0,0.0,25,1.0
skills,0.8621,1.0,0.9259,100,0.5862,0.68,0.6296,25,0.2963
uk_nhs,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
url,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
us_bank_number,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
us_driver_license,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
us_passport,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
work_history,0.0,0.0,0.0,100,0.0,0.0,0.0,25,0.0
